effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-3.0064039943159875,0.5699148965423575,-5.275180579689487,1.3262542709423485e-7
fixed,cond,Region2,24.647613192010606,7831.864203848748,0.0031470940443398183,0.9974889863955578
fixed,cond,Region3,5.856537502443351,0.9209055088854375,6.359542261324355,2.0235585252567129e-10
fixed,cond,Region4,3.7497028970967134,0.645566911508504,5.808387682594725,6.3077322794928096e-9
fixed,cond,Region5,3.216697508381961,0.6351266357440072,5.064655341708069,4.0913989426510057e-7
fixed,cond,Region6,2.533149310975725,0.6254819845168504,4.0499157028998045,5.12360860429045e-5
fixed,cond,STRATAOffshore,0.9251598283182858,0.6694709980207512,1.3819266720342815,0.16699421740334833
fixed,cond,SourceNurseryFWC,0.07848421356424475,0.6080741601544805,0.12907013438016496,0.8973021536173169
fixed,cond,SourceNurseryMML,1.0495217003872803,0.30435153952791433,3.4483863693123227,5.639467016357924e-4
fixed,cond,SourceNurseryRR,0.3861937162801615,0.338634943195126,1.1404426035786612,0.25410195209716924
fixed,cond,SourceNurseryUM,0.8495524316898014,0.6272747869972553,1.3543545018867764,0.17562330577030036
fixed,cond,Region2:STRATAOffshore,4.934557799831076,148149.00666067246,3.3308072129929444e-5,0.9999734240035023
fixed,cond,Region3:STRATAOffshore,-2.036454433749417,1.0948278615291975,-1.860068148891466,0.06287588481377505
fixed,cond,Region4:STRATAOffshore,0.5003649412629925,0.9248664394680977,0.5410131884023802,0.5884984924615725
fixed,cond,Region5:STRATAOffshore,1.7751339198024552,1.0469835643563012,1.6954744852120291,0.08998544644708399
fixed,cond,Region6:STRATAOffshore,0.10434544403727407,0.8040354149589862,0.12977717410942244,0.8967427225902157
