effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-2.725226620396045,0.5782369590021822,-4.712992792952483,2.4410483376621887e-6
fixed,cond,SpeciesO. faveolata,-0.41630297630391905,0.09221003974527202,-4.514725050048193,6.339896508596412e-6
fixed,cond,SpeciesP. clivosa,-0.28638311226046576,0.10760417954650497,-2.6614497082494375,0.007780496304428526
fixed,cond,Region2,0.32128769209407826,0.59212340991943,0.5426025837042919,0.5874034596683881
fixed,cond,Region3,0.2764931337671393,0.5924740270752595,0.46667553535138767,0.64073203567881
fixed,cond,Region4,0.49807905377574546,0.5944715952513782,0.8378517287527049,0.40211398214070027
fixed,cond,Region5,0.08408762425734735,0.5959143723218139,0.14110689079325844,0.8877855000565057
fixed,cond,Region6,-0.08437946242846706,0.5980836484600108,-0.141083045232441,0.8878043376178999
fixed,zi,(Intercept),4.591674838241382,0.5075195986009694,9.047285761769224,1.4656608605433356e-19
fixed,zi,SpeciesO. faveolata,0.49556990259318134,0.10895189315902054,4.54852034438606,5.40244213961463e-6
fixed,zi,SpeciesP. clivosa,0.3209049303394701,0.12756846830171353,2.515550547965305,0.011884663353881119
fixed,zi,Region2,-5.462179240456478,0.5091795074855864,-10.727413731612321,7.568480565550777e-27
fixed,zi,Region3,-5.920258173767182,0.5125728591798103,-11.550081257209833,7.375067606933713e-31
fixed,zi,Region4,-4.239509892972692,0.5098246386780548,-8.315623787750805,9.12709218422129e-17
fixed,zi,Region5,-4.214911768471965,0.5098503908253785,-8.26695800242223,1.3742034388159678e-16
fixed,zi,Region6,-3.5126683336513196,0.5127346243009171,-6.850850648989489,7.341212953014886e-12
