contrast,estimate,SE,df,z.ratio,p.value
CRF - FWC,0.4241451613551937,0.2838851383955004,Inf,1.4940731443443411,0.5663284938929258
CRF - MML,-0.015568136097360708,0.10607593236472025,Inf,-0.14676407503855707,0.9998959355757726
CRF - RR,0.5684684860471074,0.14708502293573494,Inf,3.8648971506465704,0.0010524375140660291
CRF - UM,-0.08787779459558379,0.2089857865888729,Inf,-0.4204965133272977,0.9934742337701259
FWC - MML,-0.4397132974525544,0.2837454856427921,Inf,-1.5496750422528678,0.5299845373272598
FWC - RR,0.14432332469191372,0.3014762633305256,Inf,0.4787220164450687,0.9892980680313863
FWC - UM,-0.5120229559507775,0.33662192531184804,Inf,-1.5210624069612733,0.5486694784429158
MML - RR,0.5840366221444682,0.1467469573679233,Inf,3.9798891412799398,6.58530773361754e-4
MML - UM,-0.07230965849822307,0.20666458323054274,Inf,-0.34988897162683513,0.996792207730424
RR - UM,-0.6563462806426912,0.2317346917148698,Inf,-2.832317750034037,0.03727773305375859
