effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-2.9446288951218795,0.6127299910661542,-4.805752840656952,1.5417026322718368e-6
fixed,cond,Region2,0.055592104147396876,0.6172760885665154,0.09006035577450766,0.9282392526605109
fixed,cond,Region3,-0.08823276695364135,0.6183812221520173,-0.1426834512318859,0.8865401869834757
fixed,cond,Region4,0.22242585272569884,0.6236102321740208,0.35667447589864126,0.7213355156729182
fixed,cond,Region5,-0.3659527843638451,0.6263381268729175,-0.584273523617214,0.5590363022902369
fixed,cond,Region6,-0.4440927717531827,0.6291948352775343,-0.7058112159444155,0.48030554615995485
fixed,cond,STRATAOffshore,0.39260481189468793,0.137564541506414,2.853968090871604,0.004317686784834637
fixed,cond,SourceNurseryFWC,-0.4241451613551937,0.2838851383955004,-1.4940731443443411,0.13515650241378968
fixed,cond,SourceNurseryMML,0.015568136097360708,0.10607593236472025,0.14676407503855707,0.8833182415313663
fixed,cond,SourceNurseryRR,-0.5684684860471074,0.14708502293573494,-3.8648971506465704,1.1113601987039216e-4
fixed,cond,SourceNurseryUM,0.08787779459558379,0.2089857865888729,0.4204965133272977,0.6741227759584825
fixed,zi,(Intercept),5.592389160624427,0.5952830559969613,9.394504184666353,5.748793781383807e-21
fixed,zi,Region2,-5.513864689880929,0.596223066361457,-9.247989554530548,2.2875469419320676e-20
fixed,zi,Region3,-5.807569230334308,0.6013845346271887,-9.656997970415961,4.591208547332216e-22
fixed,zi,Region4,-3.730976949224631,0.5970631272938954,-6.2488818663694055,4.134014351037983e-10
fixed,zi,Region5,-3.7704311793915655,0.5969570055856819,-6.316084984533097,2.68272559230043e-10
fixed,zi,Region6,-3.156695940340609,0.6006910753727965,-5.255107108727266,1.4793834893771646e-7
fixed,zi,STRATAOffshore,-0.6741433580038608,0.12059405813869176,-5.590187181764361,2.2682496661451347e-8
fixed,zi,SourceNurseryFWC,0.1030804400887585,0.3369949546219191,0.30588125630666,0.7596950577000032
fixed,zi,SourceNurseryMML,-1.179139013597738,0.14145710005707446,-8.335665110637674,7.7063754029085e-17
fixed,zi,SourceNurseryRR,-0.008136738401573728,0.17426548225598307,-0.046691624160093065,0.9627590060186119
fixed,zi,SourceNurseryUM,-0.973904145844173,0.28334817699448933,-3.437128680955353,5.879162174901124e-4
