effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-2.6998464872441574,0.1364006827566541,-19.79349687025265,3.387061624297701e-87
fixed,cond,SourceNurseryMML,1.2983689415345412,0.1809298415949866,7.176090633191146,7.173301024748041e-13
fixed,cond,SourceNurseryRR,0.12540204801793084,0.1665852531076662,0.7527800071047218,0.45158212278457766
fixed,cond,SourceNurseryUM,0.40085903757525554,0.17554754487393903,2.283478460852945,0.02240220019694647
fixed,zi,(Intercept),26.73792504448563,51099.631587635646,5.232508378975336e-4,0.9995825062540654
fixed,zi,Region2,-27.202461968472996,51099.63158781778,-5.323416455894391e-4,0.9995752528399732
fixed,zi,Region3,-27.448741924908465,51099.63158789779,-5.371612489552528e-4,0.9995714073534082
fixed,zi,Region4,-25.768191268951913,51099.63158785784,-5.042735234724253e-4,0.9995976479582521
fixed,zi,Region5,-26.1511463826806,51099.631587817974,-5.117678067353223e-4,0.999591668386114
fixed,zi,Region6,-25.203024203952907,51099.631587988755,-4.932134228904502e-4,0.9996064726406498
fixed,zi,SourceNurseryMML,-0.21430730649315433,0.2616793715172805,-0.818969050753021,0.4128040715969773
fixed,zi,SourceNurseryRR,-0.1926705957574541,0.22606804579667078,-0.8522681526196104,0.3940652778319708
fixed,zi,SourceNurseryUM,-0.2909391665443172,0.2331627854422147,-1.247794179472184,0.212106440786328
