contrast,estimate,SE,df,z.ratio,p.value
CRF_OFAV_14 - CRF_OFAV_15,-0.8134418679381907,0.205518464417828,Inf,-3.9579989576237193,0.007519016100333897
CRF_OFAV_14 - CRF_OFAV_24,-0.27190290944021467,0.2559342574730639,Inf,-1.0623935698363138,0.9995992978560109
CRF_OFAV_14 - CRF_OFAV_33,-0.35133699521428463,0.26372375993875974,Inf,-1.3322159341876132,0.9947758260001103
CRF_OFAV_14 - CRF_OFAV_34,0.16576319430427303,0.22263956931860027,Inf,0.744536089481307,0.9999958398580395
CRF_OFAV_14 - CRF_OFAV_35,0.006906206456820709,0.23171958025498696,Inf,0.029804155735225473,1
CRF_OFAV_14 - CRF_OFAV_36,-1.1166781718065704,0.2037363162472225,Inf,-5.480997165235601,4.999826571316923e-6
CRF_OFAV_14 - CRF_OFAV_39,-0.19168433076382912,0.23031331322400522,Inf,-0.8322763807292151,0.9999816491346198
CRF_OFAV_14 - CRF_OFAV_7,-0.24057711546983038,0.22715684178643067,Inf,-1.0590793285285118,0.9996141127231699
CRF_OFAV_14 - MML_OFAV_61,-0.07706214635160652,0.21260471942341155,Inf,-0.36246677195407834,0.9999999998477562
CRF_OFAV_14 - MML_OFAV_CLONE_2,-0.28502727156759766,0.19099976317788406,Inf,-1.4922912302364628,0.9835975620574272
CRF_OFAV_14 - MML_OFAV_CLONE_3,-0.36348540203143004,0.203046895743394,Inf,-1.790154932931329,0.9203543655764548
CRF_OFAV_14 - RR_OFAV_50,0.0011777411092736092,0.21638506247613362,Inf,0.005442802270159056,1
CRF_OFAV_14 - RR_OFAV_51,0.008802450536439988,0.2539194806348596,Inf,0.034666306478068364,1
CRF_OFAV_14 - RR_OFAV_52,0.08404763071524429,0.2561059082388025,Inf,0.32817529003225965,0.9999999999647069
CRF_OFAV_14 - RR_OFAV_93,0.12202419254413316,0.27424229000865663,Inf,0.4449503121501844,0.9999999969943534
CRF_OFAV_15 - CRF_OFAV_24,0.5415389584979761,0.2276863840715504,Inf,2.378442438296168,0.5640431193873191
CRF_OFAV_15 - CRF_OFAV_33,0.4621048727239061,0.23407740864739032,Inf,1.9741540860101197,0.8398388587403759
CRF_OFAV_15 - CRF_OFAV_34,0.9792050622424637,0.18952800741697362,Inf,5.166545438786525,2.7856505173562418e-5
CRF_OFAV_15 - CRF_OFAV_35,0.8203480743950115,0.20015617817061526,Inf,4.0985398596876585,0.004280958535052726
CRF_OFAV_15 - CRF_OFAV_36,-0.30323630386837963,0.16484864666951837,Inf,-1.8394831258535898,0.902192987497148
CRF_OFAV_15 - CRF_OFAV_39,0.6217575371743616,0.19821477894651485,Inf,3.1367869766266674,0.11782204534185414
CRF_OFAV_15 - CRF_OFAV_7,0.5728647524683603,0.19554544431570775,Inf,2.92957350386272,0.20028135052112073
CRF_OFAV_15 - MML_OFAV_61,0.7363797215865842,0.17972610152600907,Inf,4.0972330414679305,0.004303928911062238
CRF_OFAV_15 - MML_OFAV_CLONE_2,0.5284145963705931,0.14993962695593746,Inf,3.524182413271426,0.03631660344364285
CRF_OFAV_15 - MML_OFAV_CLONE_3,0.4499564659067607,0.16563746090271322,Inf,2.7165139060604266,0.31956786805811577
CRF_OFAV_15 - RR_OFAV_50,0.8146196090474643,0.1827493655502995,Inf,4.457578315494892,9.101281394354732e-4
CRF_OFAV_15 - RR_OFAV_51,0.8222443184746308,0.22538745235361854,Inf,3.6481370630365966,0.023773781066631194
CRF_OFAV_15 - RR_OFAV_52,0.897489498653435,0.22781435907396907,Inf,3.9395651016098987,0.008080522501312859
CRF_OFAV_15 - RR_OFAV_93,0.935466060482324,0.24973088376885536,Inf,3.7458965681960583,0.01676510504913542
CRF_OFAV_24 - CRF_OFAV_33,-0.07943408577406996,0.2824631328041031,Inf,-0.2812193045708374,0.9999999999963758
CRF_OFAV_24 - CRF_OFAV_34,0.43766610374448767,0.24320396550799048,Inf,1.7995845702199627,0.9170740064483642
CRF_OFAV_24 - CRF_OFAV_35,0.2788091158970354,0.25262208389393465,Inf,1.1036608977309188,0.9993683558195045
CRF_OFAV_24 - CRF_OFAV_36,-0.8447752623663557,0.22531509834348548,Inf,-3.7493060543973113,0.01655821481733688
CRF_OFAV_24 - CRF_OFAV_39,0.08021857867638554,0.25102147291523347,Inf,0.31956859206014726,0.9999999999761242
CRF_OFAV_24 - CRF_OFAV_7,0.03132579397038429,0.25047680158036784,Inf,0.12506465178705628,1
CRF_OFAV_24 - MML_OFAV_61,0.19484076308860815,0.23790848140289128,Inf,0.8189735899270058,0.9999851566496252
CRF_OFAV_24 - MML_OFAV_CLONE_2,-0.013124362127382994,0.21690362924193582,Inf,-0.0605078032730563,1
CRF_OFAV_24 - MML_OFAV_CLONE_3,-0.09158249259121537,0.22885787357524381,Inf,-0.40017191089169546,0.9999999993546205
CRF_OFAV_24 - RR_OFAV_50,0.27308065054948827,0.2397908714338465,Inf,1.1388283837353073,0.9990871203586836
CRF_OFAV_24 - RR_OFAV_51,0.28070535997665463,0.2738728703059246,Inf,1.0249476688329804,0.9997408463581263
CRF_OFAV_24 - RR_OFAV_52,0.35595054015545896,0.2747567802627626,Inf,1.2955113967162046,0.9961215604041516
CRF_OFAV_24 - RR_OFAV_93,0.3939271019843478,0.28912273751635426,Inf,1.3624909108439294,0.9933909379623493
CRF_OFAV_33 - CRF_OFAV_34,0.5171001895185576,0.251333534281364,Inf,2.0574261647857623,0.792249303233093
CRF_OFAV_33 - CRF_OFAV_35,0.35824320167110535,0.25999166877012725,Inf,1.377902620363761,0.9925767560487645
CRF_OFAV_33 - CRF_OFAV_36,-0.7653411765922857,0.23252289737818513,Inf,-3.2914658522747646,0.07572049021808036
CRF_OFAV_33 - CRF_OFAV_39,0.1596526644504555,0.2564041601335828,Inf,0.6226601954011932,0.9999996424573716
CRF_OFAV_33 - CRF_OFAV_7,0.11075987974445425,0.2551398593509807,Inf,0.4341143717261695,0.999999997895862
CRF_OFAV_33 - MML_OFAV_61,0.2742748488626781,0.24286748276537928,Inf,1.1293189427406374,0.9991722323006995
CRF_OFAV_33 - MML_OFAV_CLONE_2,0.06630972364668697,0.22166080644003314,Inf,0.29914951908571186,0.9999999999909736
CRF_OFAV_33 - MML_OFAV_CLONE_3,-0.012148406817145407,0.23348272574721576,Inf,-0.0520312874464987,1
CRF_OFAV_33 - RR_OFAV_50,0.35251473632355823,0.2463846781324714,Inf,1.4307494240125795,0.9891337244206886
CRF_OFAV_33 - RR_OFAV_51,0.3601394457507246,0.28094625370560705,Inf,1.281880220862817,0.9965405344138438
CRF_OFAV_33 - RR_OFAV_52,0.4353846259295289,0.2817579009543046,Inf,1.545243716165175,0.977216329117601
