contrast,ratio,SE,df,null,z.ratio,p.value
Region1 / Region2,0.3280977547299254,0.2124197849429048,Inf,1,-1.7213390458418727,0.5175042116812093
Region1 / Region3,0.2540566712172052,0.16083780557828328,Inf,1,-2.1643414101252403,0.2546043362947179
Region1 / Region4,0.5627437364321584,0.3661613544635936,Inf,1,-0.8835961947839561,0.9505464719520467
Region1 / Region5,0.14474962115032852,0.08767949134641152,Inf,1,-3.190766667421772,0.0178020374183957
Region1 / Region6,0.09692370310037056,0.05832906871582035,Inf,1,-3.878058830103499,0.0014729150095741383
Region2 / Region3,0.774332245663591,0.24379055425651375,Inf,1,-0.8123315328613531,0.9653822363018852
Region2 / Region4,1.715170946218094,0.6351537728215929,Inf,1,1.456901679907473,0.6918407283146977
Region2 / Region5,0.44117833500408926,0.12494943131085044,Inf,1,-2.889320246097021,0.04467286768047485
Region2 / Region6,0.295411052660673,0.08204175070910719,Inf,1,-4.390697906777982,1.6418928274852806e-4
Region3 / Region4,2.2150323143887913,0.7702851430995105,Inf,1,2.286870131465545,0.19929929416052794
Region3 / Region5,0.5697532777109212,0.1435535058774754,Inf,1,-2.232726835942559,0.22264537174496568
Region3 / Region6,0.38150426295047324,0.09491047829563372,Inf,1,-3.8734415943974594,0.001500404915457887
Region4 / Region5,0.2572212035056189,0.07462299244808526,Inf,1,-4.680324218427187,4.212896201805094e-5
Region4 / Region6,0.17223417485705816,0.04844560143775709,Inf,1,-6.253255684869788,6.024348908617583e-9
Region5 / Region6,0.6695955563138316,0.10071827789468116,Inf,1,-2.6664705374388116,0.08205871474662874
