contrast,ratio,SE,df,null,z.ratio,p.value
Region1 Inshore / Region2 Inshore,0.16549853302072348,0.19416552800118278,Inf,1,-1.5332154846832429,0.9315911624031072
Region1 Inshore / Region3 Inshore,0.08944437671966035,0.10188847989998935,Inf,1,-2.119288647714754,0.608800066816086
Region1 Inshore / Region4 Inshore,0.1809299181293635,0.20621828799730146,Inf,1,-1.4999931680481782,0.941030354635149
Region1 Inshore / Region5 Inshore,0.062136529381866534,0.0688002618470038,Inf,1,-2.509313884058268,0.3338033609148565
Region1 Inshore / Region6 Inshore,0.02246913805245565,0.02467012956801507,Inf,1,-3.4569799166196957,0.027238742689297935
Region1 Inshore / Region1 Offshore,0.058368748627852136,0.06435591745513682,Inf,1,-2.5766727018127904,0.2928952255945678
Region1 Inshore / Region2 Offshore,0.03796581706321501,0.042175680690340285,Inf,1,-2.944559710056044,0.12548019055233683
Region1 Inshore / Region3 Offshore,0.04212001792332968,0.04676516682971636,Inf,1,-2.8526333733154505,0.15830898011187844
Region1 Inshore / Region4 Offshore,0.1021624585007068,0.11549916547587724,Inf,1,-2.017781515125347,0.6813458448834291
Region1 Inshore / Region5 Offshore,0.019681956236343494,0.02159671304723622,Inf,1,-3.579793224784051,0.017883101593732298
Region1 Inshore / Region6 Offshore,0.024403603892268682,0.02678924167514448,Inf,1,-3.382371893606945,0.03482522485589368
Region2 Inshore / Region3 Inshore,0.5404541967055397,0.2876729596077543,Inf,1,-1.1560558134879073,0.9919933056396827
Region2 Inshore / Region4 Inshore,1.0932418241236477,0.599468051579654,Inf,1,0.16257697431665732,0.9999999999871446
Region2 Inshore / Region5 Inshore,0.3754506354088703,0.17954126310013366,Inf,1,-2.0485656269568717,0.6597141171201606
Region2 Inshore / Region6 Inshore,0.13576638802980867,0.061985701225204574,Inf,1,-4.373605202535144,7.479748109664452e-4
Region2 Inshore / Region1 Offshore,0.35268438675854175,0.198163911471942,Inf,1,-1.854834287050031,0.7871597665128297
Region2 Inshore / Region2 Offshore,0.22940274073886208,0.10448353406509946,Inf,1,-3.2325110522475198,0.05572953367029698
Region2 Inshore / Region3 Offshore,0.2545038747748625,0.12077534649691019,Inf,1,-2.8836438353648512,0.14659045116788705
Region2 Inshore / Region4 Offshore,0.6173012934677443,0.3268220230799018,Inf,1,-0.9111532326702377,0.9990332277197208
Region2 Inshore / Region5 Offshore,0.11892526101049457,0.053788574263465845,Inf,1,-4.707743414129557,1.582071016026365e-4
Region2 Inshore / Region6 Offshore,0.14745510698401704,0.06729156615387077,Inf,1,-4.194629848566043,0.0016332770234847027
Region3 Inshore / Region4 Inshore,2.0228204920745356,0.9577133586550061,Inf,1,1.487984375905482,0.9442044680077453
Region3 Inshore / Region5 Inshore,0.6946946433157781,0.2722072215099609,Inf,1,-0.9296791333829584,0.998834560564404
Region3 Inshore / Region6 Inshore,0.25120794483122394,0.09185644074397557,Inf,1,-3.7780399085075356,0.008698320377344304
Region3 Inshore / Region1 Offshore,0.6525703545432876,0.31714334477950645,Inf,1,-0.8782802316960101,0.9993149492872911
Region3 Inshore / Region2 Offshore,0.4244628724085004,0.1559452013245535,Inf,1,-2.3324557590601294,0.4531725654241734
Region3 Inshore / Region3 Offshore,0.47090738924084263,0.1623257407647197,Inf,1,-2.184727127823414,0.5608163717338177
Region3 Inshore / Region4 Offshore,1.1421898418601306,0.5165402469008603,Inf,1,0.29397727474636304,0.999999991745554
Region3 Inshore / Region5 Offshore,0.2200468822990557,0.07796585377138951,Inf,1,-4.272796148048152,0.0011664723356996642
Region3 Inshore / Region6 Offshore,0.27283552960243995,0.09992052576241504,Inf,1,-3.5466414934913226,0.020073796030553148
Region4 Inshore / Region5 Inshore,0.34342871551757076,0.13269648995872485,Inf,1,-2.7660736945268782,0.19461976201583098
Region4 Inshore / Region6 Inshore,0.12418696854983595,0.0445806689509904,Inf,1,-5.8108128265393555,4.080072670831214e-7
Region4 Inshore / Region1 Offshore,0.32260418415775183,0.15726699405556357,Inf,1,-2.3207127310370406,0.4615664600409931
