effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),-2.259252201969356,1.0928390685262872,-2.067323787221478,0.03870365428058764
fixed,cond,Region2,1.7987929481274252,1.1732160065543884,1.5332154846832429,0.12522277020706668
fixed,cond,Region3,2.414138336071579,1.1391267247501957,2.119288647714754,0.03406608046044178
fixed,cond,Region4,1.7096455153501926,1.1397688681307918,1.4999931680481782,0.13361617226273148
fixed,cond,Region5,2.7784212281723186,1.107243396620764,2.509313884058268,0.01209659422140343
fixed,cond,Region6,3.7956125534469773,1.0979562059933525,3.4569799166196957,5.462655587829185e-4
fixed,cond,STRATAOffshore,2.8409746586145084,1.1025749046884268,2.5766727018127904,0.009975635833108664
fixed,cond,MI_CORRECTED,-0.015153589870652438,0.005490110717047824,-2.7601610699029613,0.005777286990710189
fixed,cond,Region2:STRATAOffshore,-1.3686985316793845,1.1930404833332473,-1.1472356142143345,0.251284256117197
fixed,cond,Region3:STRATAOffshore,-2.0878808284997783,1.1551233079707226,-1.8074960604575534,0.07068496839335646
fixed,cond,Region4:STRATAOffshore,-2.2694291716160597,1.156693006221718,-1.9619978329678338,0.049762736549300586
fixed,cond,Region5:STRATAOffshore,-1.6913428967419473,1.1265837236814598,-1.5013024431197735,0.1332773533780496
fixed,cond,Region6:STRATAOffshore,-2.923562754974674,1.1177594104967936,-2.615556377803415,0.008908221347672572
fixed,zi,(Intercept),1.1705743400495705,0.4382511904160794,2.671012345541417,0.007562286541895454
fixed,zi,Region2,-0.8380838888745918,0.5558747044819913,-1.5076848831529144,0.1316351962898462
fixed,zi,Region3,-1.2229739869706635,0.5577254880385082,-2.192788411502942,0.028322627261372264
fixed,zi,Region4,-2.2056270545997045,0.9359533098933813,-2.3565567120553883,0.0184452509002211
fixed,zi,Region5,-2.8376969514289945,0.6098755753225239,-4.652911292485061,3.2728106770660744e-6
fixed,zi,Region6,-3.4534247505584172,0.6036714289053113,-5.720702662408267,1.0608440631961784e-8
