contrast,STRATA,estimate,SE,df,z.ratio,p.value
(Martin/Palm Beach) - (Broward-Miami),Inshore,-2.5240729650502622,0.7977271788818773,Inf,-3.164080442373911,0.01939793750915597
(Martin/Palm Beach) - Biscayne,Inshore,-2.752443918272828,0.796751033663567,Inf,-3.4545846845240042,0.007285170899829829
(Martin/Palm Beach) - Upper Keys,Inshore,-4.7977347058232285,0.7987263025793162,Inf,-6.006731830828618,2.8351397562964564e-8
(Martin/Palm Beach) - Middle Keys,Inshore,-4.685902137953319,0.7987345482184006,Inf,-5.866657637891527,6.656235085333861e-8
(Martin/Palm Beach) - Lower Keys,Inshore,-5.1475723952879955,0.7986586735629115,Inf,-6.445272011288704,1.7299207621945811e-9
(Broward-Miami) - Biscayne,Inshore,-0.22837095322256573,0.7832971671772828,Inf,-0.2915508478672677,0.9997185999278626
(Broward-Miami) - Upper Keys,Inshore,-2.2736617407729662,0.7816102466183374,Inf,-2.908945667754535,0.0422174850322653
(Broward-Miami) - Middle Keys,Inshore,-2.1618291729030563,0.7816371787865046,Inf,-2.7657706562260844,0.06306926769966159
(Broward-Miami) - Lower Keys,Inshore,-2.6234994302377332,0.7816044473406898,Inf,-3.3565564259055307,0.010249504092963546
Biscayne - Upper Keys,Inshore,-2.0452907875504005,0.7826293091906512,Inf,-2.613358282819128,0.09397411442183412
Biscayne - Middle Keys,Inshore,-1.9334582196804906,0.7826528360253422,Inf,-2.470390613416094,0.13291371090601423
Biscayne - Lower Keys,Inshore,-2.3951284770151675,0.7826117309235774,Inf,-3.0604300732735292,0.02685858333128377
Upper Keys - Middle Keys,Inshore,0.11183256786990992,0.7801040970410832,Inf,0.14335595505021478,0.9999916184420071
Upper Keys - Lower Keys,Inshore,-0.349837689464767,0.7800817259165956,Inf,-0.44846286977650696,0.9977267496310871
Middle Keys - Lower Keys,Inshore,-0.4616702573346769,0.7801129609326608,Inf,-0.5917992399238297,0.9916131412846865
(Martin/Palm Beach) - (Broward-Miami),Offshore,-0.9474985903980622,0.7868550658019723,Inf,-1.2041589761290536,0.8350565684066888
(Martin/Palm Beach) - Biscayne,Offshore,-0.8277593603416245,0.7871150958859828,Inf,-1.0516370028577486,0.9002480014648797
(Martin/Palm Beach) - Upper Keys,Offshore,-0.9304597261024385,0.7869260132772603,Inf,-1.1823979769424735,0.8454633173452047
(Martin/Palm Beach) - Middle Keys,Offshore,0.020748545017608144,0.8000102835163018,Inf,0.02593534788879417,0.9999999983575253
(Martin/Palm Beach) - Lower Keys,Offshore,-0.307789955347773,0.7887181160036899,Inf,-0.390240757886095,0.9988350289728436
(Broward-Miami) - Biscayne,Offshore,0.11973923005643772,0.7843708260216123,Inf,0.15265640445063985,0.9999885407029183
(Broward-Miami) - Upper Keys,Offshore,0.017038864295623846,0.783770786699894,Inf,0.02173960114967647,0.9999999993202768
(Broward-Miami) - Middle Keys,Offshore,0.9682471354156705,0.7989008861450412,Inf,1.2119740410951108,0.8312335821864337
(Broward-Miami) - Lower Keys,Offshore,0.6397086350502894,0.7859090189635767,Inf,0.8139728895005046,0.9650805309125954
Biscayne - Upper Keys,Offshore,-0.1027003657608141,0.784439976526073,Inf,-0.13092189183884687,0.999994665064325
Biscayne - Middle Keys,Offshore,0.8485079053592326,0.7963838572165669,Inf,1.0654509099730423,0.8951060065785679
Biscayne - Lower Keys,Offshore,0.5199694049938515,0.7860373874283286,Inf,0.6615072174811311,0.986039617607689
Upper Keys - Middle Keys,Offshore,0.9512082711200467,0.7989439334551777,Inf,1.1905820061820538,0.8415909654677889
Upper Keys - Lower Keys,Offshore,0.6226697707546656,0.7859788769578983,Inf,0.7922220164041629,0.9689326186770632
Middle Keys - Lower Keys,Offshore,-0.3285385003653811,0.7984284704151744,Inf,-0.41148144453634594,0.9984956792673361
