effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),0.67499987744907,0.7170094104675458,0.9414100674200602,0.3464947564150622
fixed,cond,Region_nameBroward-Miami,0.9625049992885584,1.0140044326333697,0.9492118262135528,0.34251288792467766
fixed,cond,Region_nameBiscayne,2.800004169355778,1.014004432633045,2.7613332636870855,0.0057565901954846925
fixed,cond,Region_nameUpper Keys,5.412502606066948,1.014004432632394,5.337750439626665,9.410686632252953e-8
fixed,cond,Region_nameMiddle Keys,8.575000544544885,1.0140044326323137,8.456571064767969,2.7535448436518965e-17
fixed,cond,Region_nameLower Keys,3.3125035635821516,1.0140044326329114,3.266754519978849,0.0010878796807500875
fixed,cond,STRATAOffshore,-0.1874978632158572,1.014004430820163,-0.18490832733758594,0.8533009393535631
fixed,cond,Region_nameBroward-Miami:STRATAOffshore,1.012492357955514,1.4340188183737457,0.7060523509055026,0.48015558211186443
fixed,cond,Region_nameBiscayne:STRATAOffshore,-1.325005355413571,1.434018818372855,-0.9239804516073374,0.35549649373938513
fixed,cond,Region_nameUpper Keys:STRATAOffshore,-3.4250037691034674,1.4340188183725207,-2.3883952743315677,0.01692213043814609
fixed,cond,Region_nameMiddle Keys:STRATAOffshore,-7.76249985791012,1.4340188183722284,-5.413108781041956,6.193983490965014e-8
fixed,cond,Region_nameLower Keys:STRATAOffshore,-2.6500041634356784,1.434018818372649,-1.847956337450963,0.06460865947617352
