effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),0.5670725541170375,0.29246314381527705,1.9389539027700762,0.05250695149805111
fixed,cond,Region2,0.043046501490469055,0.3488324192506449,0.12340166542702861,0.901789038334507
fixed,cond,Region3,1.5905596351815308,0.325456938018711,4.887158482054198,1.023017418284396e-6
fixed,cond,Region4,1.9277802965690063,0.3246399327642069,5.938210620469773,2.8814971116070103e-9
fixed,cond,Region5,1.6722910245866578,0.3252120352484452,5.142156019254065,2.7160341545259456e-7
fixed,cond,Region6,1.294424902365922,0.3263786393651974,3.9660221173896772,7.308208389379111e-5
fixed,cond,STRATAOffshore,0.328590242505308,0.39875220825502555,0.8240462013821755,0.4099133067710492
fixed,cond,MI_CORRECTED,0.0017653662194558602,0.0034966123130709273,0.5048790261524342,0.6136438062177023
fixed,cond,Region2:STRATAOffshore,0.6974099148273267,0.4688977917742347,1.4873388765352007,0.13692533158353365
fixed,cond,Region3:STRATAOffshore,0.4493862854666491,0.4475735639905009,1.0040501084558844,0.31535446163455005
fixed,cond,Region4:STRATAOffshore,-0.1990544682814744,0.44723413431428605,-0.4450788815273933,0.6562627498841545
fixed,cond,Region5:STRATAOffshore,-0.008237532920062941,0.44786836652475237,-0.018392754513970964,0.9853255325266246
fixed,cond,Region6:STRATAOffshore,-0.21050102383251945,0.44960561429559376,-0.4681903809460113,0.6396484503373827
fixed,zi,(Intercept),0.9304610447143882,0.2664166880488342,3.4925028590695284,4.7851647331427185e-4
fixed,zi,Region2,-2.9539686166081407,0.5361834465518867,-5.509249932284667,3.6036593694915187e-8
fixed,zi,Region3,-21.912054821826235,3634.813454327446,-0.006028384976879274,0.9951900738336519
fixed,zi,Region4,-4.953667439357897,0.8563518318234578,-5.784617087593416,7.267768686852907e-9
fixed,zi,Region5,-4.932432680898268,0.837891591638191,-5.886719392009528,3.9393671503052166e-9
fixed,zi,Region6,-22.087416044087764,3870.3991694134074,-0.005706754026467844,0.9954466937846139
