"contrast","estimate","SE","df","z.ratio","p.value"
"1_1 - 1_2",-0.968368066577025,0.83721485819868,Inf,-1.15665418153296,0.999981345194966
"1_1 - 1_3",-1.47785615127169,0.791316047763929,Inf,-1.86759279740093,0.974880137891735
"1_1 - 1_4",-0.678893691689536,0.866495994765236,Inf,-0.783493167644095,0.9999999901618
"1_1 - 2_1",-6.08057794355274,51.8078705311889,Inf,-0.11736784162731,1
"1_1 - 2_2",-4.50252426562996,0.760166006416314,Inf,-5.92308025829309,8.63821550511901e-07
"1_1 - 2_3",-5.81479438773058,9.66976908577311,Inf,-0.601337460714108,0.999999999962844
"1_1 - 2_4",-4.19671057586122,0.743376362648121,Inf,-5.6454721816972,4.47189827557093e-06
"1_1 - 3_1",-4.30394402964377,0.748057053726332,Inf,-5.75349702031994,2.38061949819901e-06
"1_1 - 3_2",-5.91105277981131,16.4352027604772,Inf,-0.35965803805147,1
"1_1 - 3_3",-4.02803100271,0.738173169257404,Inf,-5.45675617926099,1.30695290438965e-05
"1_1 - 3_4",-3.66564862927827,0.732575261703552,Inf,-5.0037843494115,0.000147054199209462
"1_1 - 4_1",-3.49167915343621,0.732507124643457,Inf,-4.76675111540487,0.000477085205837113
"1_1 - 4_2",-3.9454374665372,0.734909946873797,Inf,-5.36859989896794,2.12963153900514e-05
"1_1 - 4_3",-3.36982968490245,0.731977983571833,Inf,-4.60373093253255,0.00103243816872634
"1_1 - 4_4",-4.05932975200107,0.739135910005858,Inf,-5.49199368755997,1.07278308636438e-05
"1_1 - 5_1",-3.49465830791216,0.731739974558722,Inf,-4.77581986691328,0.000456615580723185
"1_1 - 5_2",-5.74546913339353,7.31672523750022,Inf,-0.785251454290839,0.999999989698126
"1_1 - 5_3",-2.90932399269175,0.737147984333066,Inf,-3.94672990298408,0.0165986487883939
"1_1 - 5_4",-4.03383742220178,0.737423208521503,Inf,-5.47017964119875,1.21244306526824e-05
"1_1 - 6_1",-2.51624461319932,0.744927942259705,Inf,-3.37783625831837,0.112189385508698
"1_1 - 6_2",-3.38594449636632,0.730984166245808,Inf,-4.63203534729879,0.000904952446745044
"1_1 - 6_3",-2.98738976164133,0.734397428371703,Inf,-4.06781076053729,0.0103824323852565
"1_1 - 6_4",-3.04002996114471,0.732937727558738,Inf,-4.147732947614,0.00753375053643124
"1_2 - 1_3",-0.509488084694664,0.570796671605123,Inf,-0.89259119760097,0.99999986273817
"1_2 - 1_4",0.289474374887488,0.671209358432443,Inf,0.431272852874896,1
"1_2 - 2_1",-5.11220987697571,51.8049407372623,Inf,-0.098681897985429,1
"1_2 - 2_2",-3.53415619905294,0.52620633507774,Inf,-6.71629352111623,5.13626108311627e-09
"1_2 - 2_3",-4.84642632115355,9.65408434713437,Inf,-0.502007870129301,0.999999999999485
"1_2 - 2_4",-3.22834250928419,0.501412661699971,Inf,-6.43849419027222,3.31987197732531e-08
"1_2 - 3_1",-3.33557596306674,0.50852637862329,Inf,-6.55929781282338,1.48853367409885e-08
"1_2 - 3_2",-4.94268471323429,16.4259732762266,Inf,-0.300906657408718,1
"1_2 - 3_3",-3.05966293613298,0.494013573829368,Inf,-6.19347948765024,1.61554253641505e-07
"1_2 - 3_4",-2.69728056270125,0.486002195717088,Inf,-5.5499349313051,7.73202621084934e-06
"1_2 - 4_1",-2.52331108685918,0.485717731363534,Inf,-5.19501538429656,5.43719287863231e-05
"1_2 - 4_2",-2.97706939996017,0.48926264500176,Inf,-6.08480829340541,3.1972307235062e-07
"1_2 - 4_3",-2.40146161832543,0.485101100233496,Inf,-4.95043531579195,0.000192711564035997
"1_2 - 4_4",-3.09096168542404,0.495277971352905,Inf,-6.2408624332327,1.19522677755057e-07
"1_2 - 5_1",-2.52629024133513,0.48469087680006,Inf,-5.2121679244589,4.96333834153484e-05
"1_2 - 5_2",-4.7771010668165,7.2959971552763,Inf,-0.654756432211848,0.999999999770322
"1_2 - 5_3",-1.94095592611473,0.492962241573124,Inf,-3.93733183280086,0.0171995135423209
"1_2 - 5_4",-3.06546935562476,0.492989386620166,Inf,-6.21812444410008,1.38156881490659e-07
"1_2 - 6_1",-1.5478765466223,0.504574440729124,Inf,-3.06768718682138,0.252351426934908
"1_2 - 6_2",-2.4175764297893,0.483394312714426,Inf,-5.00125128947788,0.000148964973814225
"1_2 - 6_3",-2.0190216950643,0.488765384417325,Inf,-4.13086065305392,0.00806727776112015
"1_2 - 6_4",-2.07166189456769,0.486537916374353,Inf,-4.25796597725738,0.00477360830023088
"1_3 - 1_4",0.798962459582152,0.61299498021892,Inf,1.30337520756992,0.999852497817065
"1_3 - 2_1",-4.60272179228105,51.8042069086458,Inf,-0.088848417280043,1
"1_3 - 2_2",-3.02466811435828,0.448798582987991,Inf,-6.73947786158498,4.38034020167066e-09
"1_3 - 2_3",-4.33693823645889,9.65015478469017,Inf,-0.449416442867774,1
"1_3 - 2_4",-2.71885442458953,0.419941013564071,Inf,-6.47437220173949,2.62008863494145e-08
"1_3 - 3_1",-2.82608787837208,0.428152019008298,Inf,-6.6006646072065,1.12726168399746e-08
"1_3 - 3_2",-4.43319662853963,16.4236622930049,Inf,-0.269927410187178,1
"1_3 - 3_3",-2.55017485143832,0.411096696424482,Inf,-6.20334552337319,1.51757267863317e-07
"1_3 - 3_4",-2.18779247800658,0.401557070306461,Inf,-5.44827283538277,1.37031151066225e-05
"1_3 - 4_1",-2.01382300216452,0.401450368552715,Inf,-5.01636854743622,0.000137904220614882
"1_3 - 4_2",-2.46758131526551,0.405424722656112,Inf,-6.08641056494859,3.16548552481422e-07
"1_3 - 4_3",-1.89197353363076,0.40053878806081,Inf,-4.72357132449187,0.000587099618726272
"1_3 - 4_4",-2.58147360072938,0.412710426507092,Inf,-6.25492702614097,1.09249009727641e-07
"1_3 - 5_1",-2.01680215664047,0.4000069888614,Inf,-5.0419172984482,0.000120976470495915
"1_3 - 5_2",-4.26761298212184,7.29079930312727,Inf,-0.585342265599235,0.999999999979228
"1_3 - 5_3",-1.43146784142007,0.40999400462618,Inf,-3.49143603386404,0.0798448111463916
"1_3 - 5_4",-2.55598127093009,0.409842211754674,Inf,-6.23650077425424,1.22895960075198e-07
"1_3 - 6_1",-1.03838846192763,0.423967025072733,Inf,-2.44921986975165,0.714489270610918
"1_3 - 6_2",-1.90808834509463,0.398561268734263,Inf,-4.78744046343057,0.000431604875005931
"1_3 - 6_3",-1.50953361036964,0.405136415076393,Inf,-3.72598846757579,0.0369884710976827
"1_3 - 6_4",-1.56217380987302,0.402361729665646,Inf,-3.88251092163054,0.0211109688294787
