"contrast","estimate","SE","df","z.ratio","p.value"
"M. cavernosa Region1 - O. faveolata Region1",-0.935601612520992,0.793795045262973,Inf,-1.17864380497744,0.999490728007827
"M. cavernosa Region1 - P. clivosa Region1",-0.498244518195536,0.905282554538562,Inf,-0.550374593763711,0.999999993862906
"M. cavernosa Region1 - M. cavernosa Region2",-6.85362848554921,1.3775202595806,Inf,-4.97533770402469,9.55062990948274e-05
"M. cavernosa Region1 - O. faveolata Region2",-25.0356121231581,5146.69017939275,Inf,-0.00486441018412187,1
"M. cavernosa Region1 - P. clivosa Region2",-5.84858491038977,1.10195704616057,Inf,-5.30745270949295,1.66141249199336e-05
"M. cavernosa Region1 - M. cavernosa Region3",-5.29717291347372,1.06289557143709,Inf,-4.98371905559046,9.15148763092066e-05
"M. cavernosa Region1 - O. faveolata Region3",-5.67056213043478,0.987111499928568,Inf,-5.74460142632837,1.39551440503372e-06
"M. cavernosa Region1 - P. clivosa Region3",-6.31697311205957,1.16950724950563,Inf,-5.4013971394618,9.91959020535393e-06
"M. cavernosa Region1 - M. cavernosa Region4",-5.17582998577953,1.05097458742603,Inf,-4.92479080627041,0.000123352105928398
"M. cavernosa Region1 - O. faveolata Region4",-4.727333735649,0.940322313702244,Inf,-5.0273546280493,7.31871451402633e-05
"M. cavernosa Region1 - P. clivosa Region4",-4.099030961528,0.969465525257517,Inf,-4.22813483794505,0.0031295981562266
"M. cavernosa Region1 - M. cavernosa Region5",-4.4858857627946,1.00053129541402,Inf,-4.48350369784118,0.00102089126882943
"M. cavernosa Region1 - O. faveolata Region5",-4.68139663994403,0.949090860773666,Inf,-4.93250628936404,0.000118648935376831
"M. cavernosa Region1 - P. clivosa Region5",-5.18207270537747,1.02721934906891,Inf,-5.04475768498187,6.69080026581836e-05
"M. cavernosa Region1 - M. cavernosa Region6",-3.81499404719064,0.967884345665451,Inf,-3.94158048353155,0.00999481456137319
"M. cavernosa Region1 - O. faveolata Region6",-3.40441383895018,0.9200856706019,Inf,-3.70010527033106,0.0244483069313216
"M. cavernosa Region1 - P. clivosa Region6",-2.73705267988731,0.953384972978853,Inf,-2.8708787713901,0.269056100631744
"O. faveolata Region1 - P. clivosa Region1",0.437357094325457,0.610794055453209,Inf,0.716046743449293,0.999999610014786
"O. faveolata Region1 - M. cavernosa Region2",-5.91802687302822,1.20106060134593,Inf,-4.9273341131966,0.000121782393686765
"O. faveolata Region1 - O. faveolata Region2",-24.1000105106371,5146.69013516348,Inf,-0.00468262317678304,1
"O. faveolata Region1 - P. clivosa Region2",-4.91298329786878,0.87154384720741,Inf,-5.63710398921511,2.61295668235739e-06
"O. faveolata Region1 - M. cavernosa Region3",-4.36157130095273,0.82190174417251,Inf,-5.3066821330863,1.66839245832051e-05
"O. faveolata Region1 - O. faveolata Region3",-4.73496051791379,0.721226036776001,Inf,-6.56515471776344,7.93899657125507e-09
