"contrast","estimate","SE","df","z.ratio","p.value"
"CRF - FWC",0.424145161355194,0.2838851383955,Inf,1.49407314434434,0.566328493892926
"CRF - MML",-0.0155681360973607,0.10607593236472,Inf,-0.146764075038557,0.999895935575773
"CRF - RR",0.568468486047107,0.147085022935735,Inf,3.86489715064657,0.00105243751406603
"CRF - UM",-0.0878777945955838,0.208985786588873,Inf,-0.420496513327298,0.993474233770126
"FWC - MML",-0.439713297452554,0.283745485642792,Inf,-1.54967504225287,0.52998453732726
"FWC - RR",0.144323324691914,0.301476263330526,Inf,0.478722016445069,0.989298068031386
"FWC - UM",-0.512022955950778,0.336621925311848,Inf,-1.52106240696127,0.548669478442916
"MML - RR",0.584036622144468,0.146746957367923,Inf,3.97988914127994,0.000658530773361754
"MML - UM",-0.0723096584982231,0.206664583230543,Inf,-0.349888971626835,0.996792207730424
"RR - UM",-0.656346280642691,0.23173469171487,Inf,-2.83231775003404,0.0372777330537586
