"contrast","Region","estimate","SE","df","z.ratio","p.value"
"M. cavernosa - O. faveolata","1",1.09048242750453,0.6539023907673,Inf,1.6676532199629,0.217710734051623
"M. cavernosa - P. clivosa","1",1.91434067260866,0.683365165995484,Inf,2.80134365616949,0.0140930355324576
"O. faveolata - P. clivosa","1",0.823858245104137,0.397628553199976,Inf,2.07192928795987,0.0957037346207459
"M. cavernosa - O. faveolata","2",-0.0803605610585927,0.441548489150484,Inf,-0.181997137422443,0.981905344231138
"M. cavernosa - P. clivosa","2",0.0446700359199907,0.513144867958787,Inf,0.0870515106146953,0.99583083077166
"O. faveolata - P. clivosa","2",0.125030596978583,0.414361235144906,Inf,0.301742987456004,0.951050416986126
"M. cavernosa - O. faveolata","3",0.130765174721932,0.498581155867243,Inf,0.26227460300716,0.962790648848902
"M. cavernosa - P. clivosa","3",-0.0986057373652631,0.589090830582392,Inf,-0.167386304872168,0.984672367303686
"O. faveolata - P. clivosa","3",-0.229370912087195,0.470288096287447,Inf,-0.487724256467254,0.87714619717008
"M. cavernosa - O. faveolata","4",0.733037710334332,0.601999099660347,Inf,1.21767243630085,0.442658887141635
"M. cavernosa - P. clivosa","4",1.23116933363584,0.654138494857902,Inf,1.88212334744691,0.143839372402629
"O. faveolata - P. clivosa","4",0.498131623301506,0.43997462889087,Inf,1.13218260915918,0.494192448400029
"M. cavernosa - O. faveolata","5",19.286190028696,6151.46439899043,Inf,0.00313521931978688,0.999994580672186
"M. cavernosa - P. clivosa","5",20.0142046654826,6151.46441375342,Inf,0.00325356749536499,0.999994163814075
"O. faveolata - P. clivosa","5",0.728014636786583,0.472177860760812,Inf,1.5418228961721,0.271378204472593
"M. cavernosa - O. faveolata","6",0.63906012873599,0.505961301213061,Inf,1.26306127999082,0.41617806901719
"M. cavernosa - P. clivosa","6",1.20044004037044,0.563180659099727,Inf,2.13153633913743,0.0835527671703697
"O. faveolata - P. clivosa","6",0.56137991163445,0.39654660545451,Inf,1.41567196368007,0.332747508944961
