MI_CORRECTED,Species,Region,alive,dead,dead_m,missing,total,survivorship
25,MCAV,1,33,3,0,0,36,0.9166666666666666
25,MCAV,2,28,7,3,0,38,0.7368421052631579
25,MCAV,3,29,7,0,0,36,0.8055555555555556
25,MCAV,4,32,4,0,0,36,0.8888888888888888
25,MCAV,5,39,0,0,0,39,1
25,MCAV,6,31,6,0,1,38,0.8157894736842105
25,OFAV,1,82,17,5,1,105,0.780952380952381
25,OFAV,2,83,22,5,1,111,0.7477477477477478
25,OFAV,3,80,22,0,0,102,0.7843137254901961
25,OFAV,4,87,19,2,0,108,0.8055555555555556
25,OFAV,5,91,14,0,0,105,0.8666666666666667
25,OFAV,6,82,29,1,1,113,0.7256637168141593
25,PCLI,1,28,17,0,0,45,0.6222222222222222
25,PCLI,2,33,9,3,0,45,0.7333333333333333
25,PCLI,3,39,7,1,0,47,0.8297872340425532
25,PCLI,4,31,12,0,0,43,0.7209302325581395
25,PCLI,5,33,10,0,0,43,0.7674418604651163
25,PCLI,6,26,16,0,0,42,0.6190476190476191
