Species,Region_name,alive - no,alive - yes,dead - no,dead - yes,dead_m - yes,missing - yes,dead_m - no,missing - no,total,prop,value
M. cavernosa,Martin/Palm Beach County,31,2,3,0,0,0,0,0,36,prop_surv_pred,0.05555555555555555
M. cavernosa,Martin/Palm Beach County,31,2,3,0,0,0,0,0,36,prop_surv_nopred,0.8611111111111112
M. cavernosa,Martin/Palm Beach County,31,2,3,0,0,0,0,0,36,prop_dead_pred,0
M. cavernosa,Martin/Palm Beach County,31,2,3,0,0,0,0,0,36,prop_dead_nopred,0.08333333333333333
M. cavernosa,Broward County,0,28,1,6,3,0,0,0,38,prop_surv_pred,0.7368421052631579
M. cavernosa,Broward County,0,28,1,6,3,0,0,0,38,prop_surv_nopred,0
M. cavernosa,Broward County,0,28,1,6,3,0,0,0,38,prop_dead_pred,0.23684210526315788
M. cavernosa,Broward County,0,28,1,6,3,0,0,0,38,prop_dead_nopred,0.02631578947368421
M. cavernosa,Miami-Dade County,4,25,0,7,0,0,0,0,36,prop_surv_pred,0.6944444444444444
M. cavernosa,Miami-Dade County,4,25,0,7,0,0,0,0,36,prop_surv_nopred,0.1111111111111111
M. cavernosa,Miami-Dade County,4,25,0,7,0,0,0,0,36,prop_dead_pred,0.19444444444444445
M. cavernosa,Miami-Dade County,4,25,0,7,0,0,0,0,36,prop_dead_nopred,0
M. cavernosa,Monroe County (Upper Keys),3,29,1,3,0,0,0,0,36,prop_surv_pred,0.8055555555555556
M. cavernosa,Monroe County (Upper Keys),3,29,1,3,0,0,0,0,36,prop_surv_nopred,0.08333333333333333
M. cavernosa,Monroe County (Upper Keys),3,29,1,3,0,0,0,0,36,prop_dead_pred,0.08333333333333333
M. cavernosa,Monroe County (Upper Keys),3,29,1,3,0,0,0,0,36,prop_dead_nopred,0.027777777777777776
M. cavernosa,Monroe County (Middle Keys),9,30,0,0,0,0,0,0,39,prop_surv_pred,0.7692307692307693
M. cavernosa,Monroe County (Middle Keys),9,30,0,0,0,0,0,0,39,prop_surv_nopred,0.23076923076923078
M. cavernosa,Monroe County (Middle Keys),9,30,0,0,0,0,0,0,39,prop_dead_pred,0
M. cavernosa,Monroe County (Middle Keys),9,30,0,0,0,0,0,0,39,prop_dead_nopred,0
M. cavernosa,Monroe County (Lower Keys),10,21,2,4,0,1,0,0,38,prop_surv_pred,0.5526315789473685
M. cavernosa,Monroe County (Lower Keys),10,21,2,4,0,1,0,0,38,prop_surv_nopred,0.2631578947368421
M. cavernosa,Monroe County (Lower Keys),10,21,2,4,0,1,0,0,38,prop_dead_pred,0.10526315789473684
M. cavernosa,Monroe County (Lower Keys),10,21,2,4,0,1,0,0,38,prop_dead_nopred,0.05263157894736842
