"contrast","estimate","SE","df","z.ratio","p.value"
"FWC Inshore - MML Inshore",22.0959991436546,33761.130513738,Inf,0.000654480427859586,1
"FWC Inshore - UM Inshore",22.385584265802,33761.1307626239,Inf,0.000663057894097093,1
"FWC Inshore - FWC Offshore",22.7697708434959,33761.1308638619,Inf,0.000674437445099591,1
"FWC Inshore - MML Offshore",23.2820543507947,33761.1308367016,Inf,0.000689611211881707,1
"FWC Inshore - UM Offshore",23.6006292332656,33761.1308108341,Inf,0.000699047356129793,1
"MML Inshore - UM Inshore",0.289585122147376,0.907802435971808,Inf,0.318995753561041,0.999562819795853
"MML Inshore - FWC Offshore",0.673771699841343,0.928262853178487,Inf,0.725841497948846,0.978834965394897
"MML Inshore - MML Offshore",1.18605520714008,0.969547558692659,Inf,1.2233079197676,0.825610238509075
"MML Inshore - UM Offshore",1.50463008961104,0.885167584258303,Inf,1.69982511376283,0.531839125442014
"UM Inshore - FWC Offshore",0.384186577693967,0.721541911641401,Inf,0.532452199235384,0.994872867786584
"UM Inshore - MML Offshore",0.8964700849927,0.772994714242646,Inf,1.15973637138131,0.855920707653443
"UM Inshore - UM Offshore",1.21504496746367,0.662941199167828,Inf,1.83280955986576,0.4444545919255
"FWC Offshore - MML Offshore",0.512283507298733,0.717276181657606,Inf,0.714206773344765,0.980301783441139
"FWC Offshore - UM Offshore",0.830858389769698,0.597651263446824,Inf,1.39020602914466,0.733042576304431
"MML Offshore - UM Offshore",0.318574882470966,0.655948569689172,Inf,0.4856705192938,0.996677501818595
