"contrast","estimate","SE","df","z.ratio","p.value"
"CRF - FWC",-0.553510568756137,0.591814684463518,Inf,-0.935276841361068,0.883225753838923
"CRF - MML",-0.316529366327376,0.241204386056934,Inf,-1.31228694262907,0.683566120153553
"CRF - RR",-0.617902119243159,0.312135021550634,Inf,-1.9795988164786,0.275934432122776
"CRF - UM",-0.202354016808628,0.503363290193123,Inf,-0.40200392192087,0.99451031438643
"FWC - MML",0.23698120242876,0.605567116537187,Inf,0.391337633694328,0.995050880064293
"FWC - RR",-0.0643915504870226,0.636481769034059,Inf,-0.101167941675289,0.99997637981114
"FWC - UM",0.351156551947508,0.750073972883689,Inf,0.468162560817133,0.990166493636633
"MML - RR",-0.301372752915783,0.337230404315828,Inf,-0.893670170479458,0.899359682302381
"MML - UM",0.114175349518748,0.519561747477262,Inf,0.219753186359712,0.99948339804691
"RR - UM",0.415548102434531,0.556126394211062,Inf,0.747218809896697,0.945281396125977
