"contrast","estimate","SE","df","z.ratio","p.value"
"FWC Inshore - MML Inshore",1.61970875200653,0.741454269118482,Inf,2.18450256403838,0.3610614692257
"FWC Inshore - RR Inshore",-0.212752929738266,0.667103635261582,Inf,-0.318920357336746,0.999983960344111
"FWC Inshore - UM Inshore",0.932433128013888,0.584396988655316,Inf,1.59554745509452,0.753242161512498
"FWC Inshore - FWC Offshore",0.554715486955055,0.588346130658781,Inf,0.942838676161482,0.981833284781609
"FWC Inshore - MML Offshore",2.16534289873482,0.619376818182047,Inf,3.49600249019715,0.0111374933548702
"FWC Inshore - RR Offshore",1.77042040617654,0.618894683864976,Inf,2.86061659977482,0.0807686308215871
"FWC Inshore - UM Offshore",1.29722847077694,0.629959770852362,Inf,2.05922430415157,0.441726152190177
"MML Inshore - RR Inshore",-1.83246168174479,0.828734775076576,Inf,-2.21115577245503,0.34480976168827
"MML Inshore - UM Inshore",-0.687275623992639,0.763827489192456,Inf,-0.899778593618371,0.986167687376608
"MML Inshore - FWC Offshore",-1.06499326505147,0.765103196126303,Inf,-1.39196028776707,0.861309054805455
"MML Inshore - MML Offshore",0.545634146728294,0.780104500753038,Inf,0.699437250011493,0.997032915777748
"MML Inshore - RR Offshore",0.15071165417001,0.782588751023378,Inf,0.192580910437221,0.99999950786659
"MML Inshore - UM Offshore",-0.322480281229591,0.795929767140285,Inf,-0.405161729769497,0.999918112759253
"RR Inshore - UM Inshore",1.14518605775215,0.693776585266771,Inf,1.65065538686609,0.719175478047645
"RR Inshore - FWC Offshore",0.767468416693322,0.697274592021014,Inf,1.10066884047625,0.956880169808436
"RR Inshore - MML Offshore",2.37809582847309,0.721574284689826,Inf,3.29570479288259,0.021985436049603
"RR Inshore - RR Offshore",1.9831733359148,0.721811612399708,Inf,2.74749436258253,0.108669117287548
"RR Inshore - UM Offshore",1.5099814005152,0.732358836736068,Inf,2.06180539480454,0.440003837175458
"UM Inshore - FWC Offshore",-0.377717641058832,0.617068587844199,Inf,-0.61211613830228,0.998734783418667
"UM Inshore - MML Offshore",1.23290977072093,0.642895283775348,Inf,1.91774586287331,0.538527324865452
"UM Inshore - RR Offshore",0.837987278162649,0.643633234467613,Inf,1.30196396532537,0.8984706673496
"UM Inshore - UM Offshore",0.364795342763048,0.656187576501785,Inf,0.555931498593461,0.999324239794893
"FWC Offshore - MML Offshore",1.61062741177977,0.538969210973245,Inf,2.98834771817739,0.056569199347627
"FWC Offshore - RR Offshore",1.21570491922148,0.537748226887181,Inf,2.26073254812709,0.315576566659788
"FWC Offshore - UM Offshore",0.742512983821881,0.549648155074352,Inf,1.35088779424983,0.879128520064118
"MML Offshore - RR Offshore",-0.394922492558284,0.563597281184865,Inf,-0.700717526046308,0.996998488490759
"MML Offshore - UM Offshore",-0.868114427957885,0.582635858702585,Inf,-1.48997768501754,0.813154741172077
"RR Offshore - UM Offshore",-0.473191935399601,0.580867516764382,Inf,-0.81462970770931,0.99236751332364
