"contrast","estimate","SE","df","z.ratio","p.value"
"M. cavernosa Inshore - O. faveolata Inshore",1.20783165668182,0.422545534051207,Inf,2.85846508683121,0.0487780471311361
"M. cavernosa Inshore - P. clivosa Inshore",1.28389899302748,0.457174614957108,Inf,2.80833395167387,0.0561252352113782
"M. cavernosa Inshore - M. cavernosa Offshore",1.37895574111246,0.519592787909767,Inf,2.65391624595053,0.084759021341831
"M. cavernosa Inshore - O. faveolata Offshore",1.60393748510432,0.48036906203586,Inf,3.33896916322346,0.0108841822760386
"M. cavernosa Inshore - P. clivosa Offshore",2.28352153721766,0.497134757670327,Inf,4.59336528372849,6.39536379227756e-05
"O. faveolata Inshore - P. clivosa Inshore",0.0760673363456563,0.273511050924681,Inf,0.278114306857033,0.999776794084408
"O. faveolata Inshore - M. cavernosa Offshore",0.171124084430637,0.367193872703651,Inf,0.466031971532231,0.997269305416253
"O. faveolata Inshore - O. faveolata Offshore",0.396105828422495,0.309201008522343,Inf,1.28106253700616,0.795555283162736
"O. faveolata Inshore - P. clivosa Offshore",1.07568988053583,0.334378995480502,Inf,3.21697802515996,0.0163490227504133
"P. clivosa Inshore - M. cavernosa Offshore",0.0950567480849811,0.405859935174031,Inf,0.234210721105598,0.999904275090552
"P. clivosa Inshore - O. faveolata Offshore",0.320038492076838,0.354252351332034,Inf,0.90341952812297,0.945762289897178
"P. clivosa Inshore - P. clivosa Offshore",0.999622544190178,0.376334564507384,Inf,2.65620710523539,0.0842610120993057
"M. cavernosa Offshore - O. faveolata Offshore",0.224981743991857,0.273631068340448,Inf,0.822208330933891,0.96353912734598
"M. cavernosa Offshore - P. clivosa Offshore",0.904565796105197,0.3022643787595,Inf,2.9926311522964,0.0329982577784387
"O. faveolata Offshore - P. clivosa Offshore",0.67958405211334,0.22829886137194,Inf,2.9767299233533,0.0346026377260723
